date,clicks,impressions,ctr,position
2026-02-23,0,3,0.00,23.00
2026-02-24,0,0,0.00,0.00
2026-02-25,0,2,0.00,21.50
2026-02-26,0,3,0.00,5.33
2026-02-27,0,166,0.00,7.74
2026-02-28,0,376,0.00,7.32
2026-03-01,0,55,0.00,7.47
2026-03-02,0,2,0.00,18.50
2026-03-03,0,2,0.00,16.00
2026-03-04,0,2,0.00,26.00
2026-03-05,0,1,0.00,6.00
2026-03-06,0,7,0.00,38.14
2026-03-07,0,10,0.00,77.40
2026-03-08,0,8,0.00,72.88
2026-03-09,0,15,0.00,48.47
2026-03-10,0,16,0.00,69.06
2026-03-11,0,12,0.00,77.58
2026-03-12,0,15,0.00,58.33
2026-03-13,0,14,0.00,71.07
2026-03-14,0,15,0.00,73.53
2026-03-15,0,9,0.00,74.33
2026-03-16,0,14,0.00,71.93
2026-03-17,0,17,0.00,64.00
2026-03-18,0,9,0.00,70.44
2026-03-19,0,1,0.00,86.00
2026-03-20,0,5,0.00,80.40
2026-03-21,1,6,16.67,44.00
2026-03-22,0,5,0.00,68.40
2026-03-23,0,12,0.00,63.42
2026-03-24,0,36,0.00,73.81
2026-03-25,0,41,0.00,78.59
2026-03-26,0,28,0.00,79.18
2026-03-27,0,52,0.00,62.92
2026-03-28,0,113,0.00,44.13
2026-03-29,0,147,0.00,31.56
2026-03-30,0,96,0.00,31.04
2026-03-31,0,104,0.00,28.54
2026-04-01,0,84,0.00,20.83
2026-04-02,0,77,0.00,41.06
2026-04-03,0,58,0.00,47.05
2026-04-04,0,46,0.00,38.07
2026-04-05,0,49,0.00,32.16
2026-04-06,0,43,0.00,45.37
2026-04-07,0,65,0.00,43.17
2026-04-08,0,62,0.00,36.82
2026-04-09,0,111,0.00,33.45
2026-04-10,0,64,0.00,40.86
2026-04-11,0,19,0.00,75.53
2026-04-12,0,23,0.00,62.04
2026-04-13,2,39,5.13,56.95
2026-04-14,1,47,2.13,77.79
2026-04-15,0,43,0.00,59.19
2026-04-16,0,49,0.00,65.14
2026-04-17,0,126,0.00,40.72
2026-04-18,0,50,0.00,74.32
2026-04-19,0,57,0.00,69.70
